expe,DR,size,energy,sample
ns-3,0,2000,30.6462,1
real,0,2000,33.3,1
real,0,2000,33.27,2
real,0,2000,33.34,3
real,0,2000,33.30,4
real,0,2000,33.22,5
ns-3,1,2000,19.4339,1
real,1,2000,21.17,1
real,1,2000,20.69,2
real,1,2000,20.52,3
real,1,2000,20.65,4
real,1,2000,20.75,5
ns-3,2,2000,12.5391,1
real,2,2000,14.39,1
real,2,2000,14.80,2
real,2,2000,15.08,3
real,2,2000,14.38,4
real,2,2000,14.32,5
ns-3,3,2000,8.99149,1
real,3,2000,9.75,1
real,3,2000,10.27,2
real,3,2000,9.93,3
real,3,2000,10.15,4
real,3,2000,9.82,5
ns-3,4,2000,7.81615,1
real,4,2000,9.1,1
real,4,2000,8.25,2
real,4,2000,8.41,3
real,4,2000,8.61,4
real,4,2000,8.28,5
ns-3,5,2000,7.25073,1
real,5,2000,7.64,1
real,5,2000,7.45,2
real,5,2000,7.93,3
real,5,2000,7.46,4
real,5,2000,7.36,5